,Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
161,Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,24499
162,Samsung,Galaxy A24,128,8,13,4000,1080 x 2340,Android,6.5,8699
163,Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,11499
164,Vivo,Y27,128,6,8,4000,1080 x 2388,Android,6.6,7790
165,Vivo,V27e,256,8,32,4000,1080 x 2400,Android,6.6,12990
166,Vivo,V27e,256,8,32,4000,1080 x 2400,Android,6.6,12990
167,Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4859
168,Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4859
169,Oppo,A17,64,4,5,4000,720 x 1612,Android,6.5,5499
170,iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
171,realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
172,realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7999
173,Samsung,Galaxy A14,64,4,8,4000,1080 x 2400,Android,6.6,5540
174,Samsung,Galaxy A04s,32,3,5,4000,720 × 1600,Android,6.5,4219
175,Oppo,A55,128,4,16,4000,720 x 1600 pixels,Android,6.5,6149
176,Oppo,A55,128,4,16,4000,720 x 1600 pixels,Android,6.5,6149
177,iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
178,iKU,A11,32,2,5,3000,1600 x 900,Android,6.5,3299
179,Samsung,Galaxy A04s,32,3,5,4000,720 × 1600,Android,6.5,4219
180,Vivo,Y36,128,8,16,4000,1080 x 2388,Android,6.6,8790
181,Xiaomi,Redmi Note 12,256,8,13,4000,1080 x 2400,Android,6.7,9888
182,Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,11499
183,Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
184,realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
185,realme,C30s,32,2,5,4000,720 x 1600,Android,6.5,3399
186,realme,C30s,64,3,5,4000,720x1600,Android,6.5,3726
187,Xiaomi,Redmi Note 13,256,8,13,4000,1080 x 2400,Android,6.7,9888
188,realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
189,iKU,A12,64,4,5,3000,,Android,6.5,3699
190,iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
191,Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3120
192,Infinix,Smart 7,64,3,5,4000,720 x 1612,Android,6.6,3555
193,Infinix,Smart 7,64,3,5,4000,720 x 1612,Android,6.6,3555
194,Xiaomi,Poco C40,64,4,5,5000,720 x 1650,Android,6.7,5099
195,iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
196,Oppo,A57,64,4,8,4000,720 x 1612,Android,6.5,5799
197,realme,10,256,8,16,4000,1080 x 2400,Android,6.4,8999
198,iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
199,Honor,x7a,128,4,8,5000,720 x 1600,Android,6.8,7666
200,Xiaomi,Redmi Note 12 Pro,256,8,16,4000,1080 x 2400,Android,6.67,12199
201,realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
202,Oppo,A17,64,4,5,4000,720 x 1612,Android,6.5,5499
203,iKU,A12,64,4,5,3000,,Android,6.5,3699
204,realme,C30s,64,3,5,4000,720x1600,Android,6.5,3726
205,iKU,A7,16,2,5,2000,1920 x 1080,Android,6,2800
206,iKU,A6,32,1,2,2000,,Android,5.4,2600
207,iKU,A6,32,1,2,2000,,Android,5.4,2600
208,Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3117
209,Samsung,Galaxy A34,256,8,13,4000,1080 x 2340,Android,6.6,12199
210,realme,9i,128,4,16,4000,1080 x 2412,Android,6.6,5886
211,Oppo,A77S,128,8,8,4000,720 x 1612,Android,6.5,8199
212,Oppo,A17K,64,3,5,4000,,Android,6.52,4999
213,Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
214,Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
215,Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3777
216,Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4499
217,realme,C51,128,4,5,4000,,Android,6.4,8565
218,realme,C53,128,6,8,4000,1080 x 2400,Android,6.7,6452
219,Oppo,A98,256,8,32,4000,1080 x 2400 ,Android,6.7,11569
220,Oppo,A77S,128,8,8,4000,720 x 1612,Android,6.5,8199
221,Xiaomi,Poco C40,64,4,5,5000,720 x 1650,Android,6.7,5099
222,iKU,A12,64,4,5,3000,,Android,6.5,3699
223,realme,C30s,32,2,5,4000,720 x 1600,Android,6.5,3399
224,realme,Narzo 50A,64,4,8,5000,720 x 1600,Android,6.5,4799
225,Vivo,Y22,128,4,8,4000,720 x 1612,Android,6.5,7390
226,realme,C33,128,4,5,4000,720 x 1600,Android,6.5,5499
227,Infinix,Smart 7,64,4,5,4000,720 x 1612,Android,6.6,3750
228,Samsung,Galaxy A34,128,8,13,4000,1080x2400,Android,6.6,11499
229,Huawei,nova Y91,256,8,8,6001-7000mAh,1080 x 2376,EMUI,6.9,11229
230,Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080x2400,Android,6.6,17999
231,Oppo,A77,128,4,8,4000,720 x 1612,Android,6.5,6666
232,Huawei,nova Y91,256,8,8,6001-7000mAh,1080 x 2376,EMUI,6.9,11229
233,Apple,iPhone 12,128,4,12,2000,1170 x 2532,iOS,6.1,30499
234,Oppo,A55,64,4,16,4000,720 x 1600 pixels,Android,6.5,5999
235,Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
236,Huawei,Nova Y61,64,4,5,4000,720X1600,EMUI,6.5,5200
237,Samsung,Galaxy A04,64,4,5,4000,720 x 1600,Android,6.5,5249
238,Samsung,Galaxy A04s,64,4,5,4000,720 × 1600,Android,6.5,4877
239,Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
240,Vivo,V27,256,8,50,4000,1080 x 2400,Android,6.9,18990
241,Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,9499
242,Vivo,Y22,128,4,8,4000,720 x 1612,Android,6.5,7390
243,Huawei,Nova Y90,128,8,8,5000,1080 x 2388,EMUI,6.7,8999
244,Xiaomi,Redmi 10A,32,2,5,4000,720 x 1600,Android,6.5,3999
245,Huawei,Nova Y61,64,4,5,4000,720 x 1600,EMUI,6.5,5653
246,Apple,iphone 14,128,6,12,3000,1170x2532,iOS,6.1,35999
247,Oppo,A78,256,8,8,4000,2400×1080,Android,6.4,9789
248,Oppo,A78,256,8,8,4000,2400×1080,Android,6.4,9789
249,Oppo,A78,128,8,8,4000,2400×1080,Android,6.4,8565
250,Xiaomi,Redmi 10C,128,4,5,4000,(720 x 1650),Android,6.4,5349
251,Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,5899
252,iKU,A6,32,1,2,2000,,Android,5.4,2600
253,Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4499
254,Nokia,Nokia C1 2E,16,1,5,2000,720 x 1440 pixels,Android,5.4,2099
255,Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
256,Xiaomi,Redmi Note 12 Pro Plus,256,8,16,4000,1080x2400,Android,6.6,17999
257,Apple,iPhone 14 Pro Max,256,6,12,4000,1290 x 2796,iOS,6.7,54999
258,Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,5899
259,Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2799
260,Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
261,Vivo,Y36,128,8,16,4000,1080 x 2388,Android,6.6,8790
262,realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7999
263,Nokia,Nokia 130,Less,Less,Unidentified,,128 x 160 pixels,,1.8,1019
264,Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
265,Samsung,Galaxy A04e,64,3,5,4000,720 x 1600,Android,6.5,4599
266,Nokia,G21,128,4,8,5000,720 x 1600,Android,6.5,5649
267,Oppo,A77,128,4,8,4000,1612 x 720,,6.5,6666
268,Huawei,nova 11i,128,8,16,4000,1080 x 2388,EMUI,6.8,12499
269,Oppo,Reno 8T,256,8,32,4000,2412x1080,Android,6.7,13699
270,Oppo,A78,128,8,8,4000,2400×1080,Android,6.4,8565
271,Xiaomi,Redmi 10A,64,3,5,4000,720 × 1600,Android,6.5,4599
272,Huawei,Nova Y61,64,4,5,4000,720 x 1600,EMUI,6.5,5653
273,Samsung,Galaxy A54,128,8,32,4000,1080 x 2340,Android,6.4,17499
274,Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5899
275,Huawei,Nova Y90,128,8,8,5000,1080 x 2388,EMUI,6.7,8519
276,Vivo,V27,256,8,50,4000,1080 x 2400,Android,6.9,18990
277,realme,C33,64,4,5,4000,720 x 1600,Android,6.5,5050
278,Samsung,A24,128,4,13,4000,1080 x 2340,Android,6.5,7099
279,Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
280,Oppo,Reno 8T,256,8,32,4000,1080 x 2412 ,Android,6.7,14684
281,realme,Narzo 50i,32,2,5,4000,720 x 1600,Android,6.5,3599
282,Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
283,Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
284,Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,33333
285,Samsung,Galaxy A04,32,3,5,4000,720 x 1600,Android,6.5,4849
286,Samsung,Galaxy A04e,32,3,5,4000,720 x 1600,Android,6.5,4199
287,Nokia,C21 Plus,64,3,5,4000,720 x 1600,Android,6.5,4799
288,Honor,X9A,128,8,16,5000,1080 x 2400,Android,6.67,16499
289,realme,C25Y,64,4,8,4000,720 x 1600 pixels,Android,6.5,4399
290,Infinix,Smart 6,32,2,5,4000,720 x 1600,Android,6.6,3349
291,Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,16499
292,Oppo,A16K,32,3,5,4000,720 x 1600,Android,6.5,4249
293,Xiaomi,Redmi 10A,128,4,5,4000,720 x 1600,Android,6.53,5999
294,Samsung,Galaxy A04,64,4,5,4000,720 x 1600,Android,6.5,5249
295,Nokia,C10,32,2,5,3000,720 x 1600,Android,6.5,2799
296,Infinix,Smart 6,32,2,5,4000,720 x 1600,Android,6.6,3130
297,Nokia,C21 Plus,64,3,5,4000,720 x 1600,Android,6.5,4799
298,Samsung,Galaxy A34,256,8,13,4000,1080 x 2340,Android,6.6,12199
299,Huawei,Nova 9 SE,128,8,16,3000,1080 x 2388,Android,6.7,13255
300,realme,Narzo 50i,32,2,5,4000,720 x 1600,Android,6.5,3599
301,Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
302,Oppo,Reno 7,256,8,32,4000,1080 x 2400,Android,6.4,12999
303,Samsung,Galaxy A04e,64,3,5,4000,720 x 1600,Android,6.5,4599
304,iKU,A6,32,1,2,1000,720x1600,Android,5.5,2600
305,Samsung,Galaxy A34,256,8,13,4000,1080x2340,Android,6.6,12199
306,Xiaomi,Redmi Note 12 4G,128,8,13,4000,1080 x 2400,Android,6.6,8349
307,realme,C21Y,64,4,5,,,Android,6.5,4099
308,Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,16499
309,Samsung,Galaxy A53 5G,256,8,32,4000,1080 x 2400,Android,6.5,16099
310,Samsung,Galaxy A03,64,4,5,4000,720 x 1600,Android,6.5,5249
311,Samsung,Galaxy A03,128,4,5,4000,720 x 1600,Android,6.5,5399
312,Samsung,Galaxy A03,128,4,5,,,Android,6.5,5399
